dataset,sweep,panel,level,n_H_level,method,excess,se,tau,tau_se,n_H,n_L,n
mt_bench,budget,all,320.0,-1,dial_mu,0.011805423355539685,0.0009090057021165708,0.9253333333333333,0.009454989444564462,320.0,22935.14,50
mt_bench,budget,all,320.0,-1,human_only,0.013430148524080998,0.0011270246153489132,0.8853333333333333,0.007628565483619344,320.0,22935.14,50
mt_bench,budget,large6,-1.0,-1,consensus_cal,0.010685065873238473,0.000812878821192496,0.9279999999999999,0.009493284414763513,421.7,6756.48,50
mt_bench,budget,large6,-1.0,-1,dial_mu,0.010533426010067081,0.0007872335293734838,0.9253333333333333,0.00945498944456446,421.7,6756.48,50
mt_bench,budget,large6,-1.0,-1,human_only,0.011325863220746208,0.0008484639293739566,0.8746666666666666,0.004523558890300159,421.7,22935.14,50
mt_bench,budget,large6,20.0,-1,consensus_cal,0.03724521954121537,0.00521750659864888,0.9279999999999999,0.009493284414763513,20.0,6756.48,50
mt_bench,budget,large6,20.0,-1,dial_mu,0.0633801530347179,0.012106408724420259,0.9226666666666665,0.012100861085157021,20.0,6756.48,50
mt_bench,budget,large6,20.0,-1,human_only,2.9287701661424013,0.38053023717504164,0.5946666666666666,0.034488290431257215,20.0,22935.14,50
mt_bench,budget,large6,40.0,-1,consensus_cal,0.02373490074580875,0.002599040730890748,0.9279999999999999,0.009493284414763513,40.0,6756.48,50
mt_bench,budget,large6,40.0,-1,dial_mu,0.046379892522174344,0.009485407087070298,0.9013333333333332,0.01309168783043016,40.0,6756.48,50
mt_bench,budget,large6,40.0,-1,human_only,0.4589654765261305,0.10186069033227134,0.7413333333333333,0.022346680953999942,40.0,22935.14,50
mt_bench,budget,large6,80.0,-1,consensus_cal,0.015011853262811226,0.0013648399061000677,0.9279999999999999,0.009493284414763513,80.0,6756.48,50
mt_bench,budget,large6,80.0,-1,dial_mu,0.020421592971176235,0.0023178113583296146,0.9066666666666666,0.011586214343425178,80.0,6756.48,50
mt_bench,budget,large6,80.0,-1,human_only,0.09657760247796546,0.031258056186690836,0.8053333333333333,0.015803785533479265,80.0,22935.14,50
mt_bench,budget,large6,160.0,-1,consensus_cal,0.014134641752297127,0.0016108959031615416,0.9279999999999999,0.009493284414763513,160.0,6756.48,50
mt_bench,budget,large6,160.0,-1,dial_mu,0.01817496322521287,0.002655238889993053,0.9199999999999998,0.012634761106115803,160.0,6756.48,50
mt_bench,budget,large6,160.0,-1,human_only,0.04038452197463862,0.015140552505635297,0.8666666666666666,0.017457431218879386,160.0,22935.14,50
mt_bench,budget,large6,320.0,-1,consensus_cal,0.011626246504470434,0.0009387914345317638,0.9279999999999999,0.009493284414763513,320.0,6756.48,50
